,run_id,model,target_col,window,param_grid,horizon,use_regressors,regressor_cols,backtest,start_date,end_date,best_params,forecast_sample,forecast_path,plot_path,error,MAE,MAPE,RMSE,R2,Bias
0,prophet_Weight Sold_2_20250707155306,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",2,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2025-01-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-12-01 00:00:00'), 1: Timestamp('2025-01-01 00:00:00')}, 'forecast': {0: 3374799.45653436, 1: 1367189.5153806554}, 'Weight Sold': {0: 4162649.379999999, 1: 1584992.3099999998}}",,,,502826.35904249165,0.16334107087360447,577990.2937112394,0.7988820633416023,-502826.35904249165
1,prophet_Weight Sold_4_20250707155306,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",4,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2025-01-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-10-01 00:00:00'), 1: Timestamp('2024-11-01 00:00:00'), 2: Timestamp('2024-12-01 00:00:00'), 3: Timestamp('2025-01-01 00:00:00')}, 'forecast': {0: 1894599.9936204464, 1: 2504596.6437004833, 2: 3122292.606360444, 3: 1068729.4858322055}, 'Weight Sold': {0: 2944637.7799999993, 1: 2906970.83, 2: 4162649.379999999, 3: 1584992.3099999998}}",,,,752257.8926216047,0.2676640591537801,808293.5510537742,0.214163550306683,-752257.8926216047
2,prophet_Weight Sold_6_20250707155307,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",6,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2025-01-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-08-01 00:00:00'), 1: Timestamp('2024-09-01 00:00:00'), 2: Timestamp('2024-10-01 00:00:00'), 3: Timestamp('2024-11-01 00:00:00')}, 'forecast': {0: 4100497.392976543, 1: 5555426.47165039, 2: 2366225.042407794, 3: 3045168.52157156}, 'Weight Sold': {0: 3129936.5699999994, 1: 4548466.009999999, 2: 2944637.7799999993, 3: 2906970.83}}",,,,537160.1928157415,0.15460457461750574,649293.9916787989,0.5407832852787544,189530.93594655616
3,prophet_Weight Sold_2_20250707155307,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",2,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2024-11-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-10-01 00:00:00'), 1: Timestamp('2024-11-01 00:00:00')}, 'forecast': {0: 1894599.9936204464, 1: 2504596.6437004833}, 'Weight Sold': {0: 2944637.7799999993, 1: 2906970.83}}",,,,726205.9863395349,0.24750509703794787,795136.5727424031,-1781.4712727099093,-726205.9863395349
4,prophet_Weight Sold_4_20250707155308,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",4,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2024-11-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-08-01 00:00:00'), 1: Timestamp('2024-09-01 00:00:00'), 2: Timestamp('2024-10-01 00:00:00'), 3: Timestamp('2024-11-01 00:00:00')}, 'forecast': {0: 4100497.392976543, 1: 5555426.47165039, 2: 2366225.042407794, 3: 3045168.52157156}, 'Weight Sold': {0: 3129936.5699999994, 1: 4548466.009999999, 2: 2944637.7799999993, 3: 2906970.83}}",,,,673532.928447675,0.1938608775147187,759871.3015025458,-0.25446585417645884,384326.55965157226
5,prophet_Weight Sold_6_20250707155308,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",6,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2024-11-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-06-01 00:00:00'), 1: Timestamp('2024-07-01 00:00:00'), 2: Timestamp('2024-08-01 00:00:00'), 3: Timestamp('2024-09-01 00:00:00')}, 'forecast': {0: 5331895.961529073, 1: 3288009.7262087585, 2: 4712801.149779148, 3: 6327814.760565522}, 'Weight Sold': {0: 3595323.2199999993, 1: 2950430.7299999995, 2: 3129936.5699999994, 3: 4548466.009999999}}",,,,1075301.3931844437,0.30723084102964776,1272502.7892855764,-3.704691707186541,1075301.3931844437
6,prophet_Weight Sold_2_20250707155309,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",2,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2024-09-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-08-01 00:00:00'), 1: Timestamp('2024-09-01 00:00:00')}, 'forecast': {0: 4100497.3929765425, 1: 5555426.47165039}, 'Weight Sold': {0: 3129936.5699999994, 1: 4548466.009999999}}",,,,988760.6423134671,0.2657371216881936,988928.1274248583,-0.944073780883335,988760.6423134671
7,prophet_Weight Sold_4_20250707155309,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",4,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2024-09-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-06-01 00:00:00'), 1: Timestamp('2024-07-01 00:00:00'), 2: Timestamp('2024-08-01 00:00:00'), 3: Timestamp('2024-09-01 00:00:00')}, 'forecast': {0: 5331895.961529073, 1: 3288009.7262087585, 2: 4712801.149779148, 3: 6327814.760565522}, 'Weight Sold': {0: 3595323.2199999993, 1: 2950430.7299999995, 2: 3129936.5699999994, 3: 4548466.009999999}}",,,,1359091.2670206265,0.37358524462873977,1483339.7048014347,-4.734496710669979,1359091.2670206265
8,prophet_Weight Sold_6_20250707155310,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",6,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2024-09-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-04-01 00:00:00'), 1: Timestamp('2024-05-01 00:00:00'), 2: Timestamp('2024-06-01 00:00:00'), 3: Timestamp('2024-07-01 00:00:00')}, 'forecast': {0: 2519743.457072512, 1: 3320043.665813551, 2: 4330849.790904749, 3: 2169702.641017933}, 'Weight Sold': {0: 3449214.329999999, 1: 4676295.619999999, 2: 3595323.2199999993, 3: 2950430.7299999995}}",,,,741062.1967198014,0.19955608419254608,823286.610202959,-0.5463187359170794,-281088.1086455328
9,prophet_Weight Sold_2_20250707155310,prophet,Weight Sold,,"{'changepoint_prior_scale': [0.5], 'seasonality_prior_scale': [10], 'fourier_order': [5]}",2,True,['Oil Price Lag3'],True,2022-01-01 00:00:00,2024-07-01 00:00:00,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","{'Month': {0: Timestamp('2024-06-01 00:00:00'), 1: Timestamp('2024-07-01 00:00:00')}, 'forecast': {0: 5331895.961529073, 1: 3288009.7262087585}, 'Weight Sold': {0: 3595323.2199999993, 1: 2950430.7299999995}}",,,,1037075.8688689165,0.29871282425762014,1250928.5481799345,-14.050480322472644,1037075.8688689165
