,run_id,model,target_col,window,param_grid,horizon,use_regressors,regressor_cols,backtest,start_date,end_date,best_params,forecast_json,error,MAE,MAPE,RMSE,R2,Bias
96,ma_Weight Sold_2_20250708031202,ma,Weight Sold,4,,2,False,,True,1/1/2022 0:00,4/1/2024 0:00,,"[{'Month': Timestamp('2024-03-01 00:00:00'), 'forecast': 3502373.6924999994, 'Weight Sold': 3240903.859999999}, {'Month': Timestamp('2024-04-01 00:00:00'), 'forecast': 3502373.6924999994, 'Weight Sold': 3449214.329999999}]",,157314.5975,0.05,188669.5406,-2.281265542,157314.5975
121,ma_Weight Consumed_2_20250708031202,ma,Weight Consumed,6,,2,False,,True,1/1/2022 0:00,1/1/2025 0:00,,"[{'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 4015253.9651723956, 'Weight Consumed': 4016814.0648351647}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 4015253.9651723956, 'Weight Consumed': 4524790.166522367}]",,255548.1505,0.06,360298.1921,-1.012322556,-255548.1505
132,ma_Weight Consumed_2_20250708031202,ma,Weight Consumed,4,,2,False,,True,1/1/2022 0:00,10/1/2024 0:00,,"[{'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 4383764.619722578, 'Weight Consumed': 4181858.2482517483}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 4383764.619722578, 'Weight Consumed': 4113359.161250514}]",,236155.915,0.06,238626.5857,-47.54316403,236155.915
122,ma_Weight Consumed_2_20250708031202,ma,Weight Consumed,8,,2,False,,True,1/1/2022 0:00,1/1/2025 0:00,,"[{'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 4162849.2223122874, 'Weight Consumed': 4016814.0648351647}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 4162849.2223122874, 'Weight Consumed': 4524790.166522367}]",,253988.0508,0.06,275977.82,-0.180651679,-107952.8934
123,ma_Weight Consumed_2_20250708031202,ma,Weight Consumed,10,,2,False,,True,1/1/2022 0:00,1/1/2025 0:00,,"[{'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 4183257.4401264424, 'Weight Consumed': 4016814.0648351647}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 4183257.4401264424, 'Weight Consumed': 4524790.166522367}]",,253988.0508,0.06,268652.1919,-0.118804504,-87544.67555
134,ma_Weight Consumed_2_20250708031202,ma,Weight Consumed,8,,2,False,,True,1/1/2022 0:00,10/1/2024 0:00,,"[{'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 4389795.918921152, 'Weight Consumed': 4181858.2482517483}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 4389795.918921152, 'Weight Consumed': 4113359.161250514}]",,242187.2142,0.06,244596.9704,-50.00263012,242187.2142
124,ma_Weight Consumed_4_20250708031202,ma,Weight Consumed,4,,4,False,,True,1/1/2022 0:00,1/1/2025 0:00,,"[{'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 4091131.318343401, 'Weight Consumed': 4113359.161250514}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 4091131.318343401, 'Weight Consumed': 3613639.3564102566}, {'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 4091131.318343401, 'Weight Consumed': 4016814.0648351647}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 4091131.318343401, 'Weight Consumed': 4524790.166522367}]",,251923.9766,0.06,324836.7673,-0.005479794,23980.63109
120,ma_Weight Consumed_2_20250708031202,ma,Weight Consumed,4,,2,False,,True,1/1/2022 0:00,1/1/2025 0:00,,"[{'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 3972139.352636069, 'Weight Consumed': 4016814.0648351647}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 3972139.352636069, 'Weight Consumed': 4524790.166522367}]",,298662.763,0.07,392057.8733,-1.382724273,-298662.763
135,ma_Weight Consumed_2_20250708031202,ma,Weight Consumed,10,,2,False,,True,1/1/2022 0:00,10/1/2024 0:00,,"[{'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 4462499.95637179, 'Weight Consumed': 4181858.2482517483}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 4462499.95637179, 'Weight Consumed': 4113359.161250514}]",,314891.2516,0.08,316748.3727,-84.53014533,314891.2516
133,ma_Weight Consumed_2_20250708031202,ma,Weight Consumed,6,,2,False,,True,1/1/2022 0:00,10/1/2024 0:00,,"[{'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 4464674.035379163, 'Weight Consumed': 4181858.2482517483}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 4464674.035379163, 'Weight Consumed': 4113359.161250514}]",,317065.3306,0.08,318909.7915,-85.70140446,317065.3306
