,run_id,model,target_col,window,param_grid,horizon,use_regressors,regressor_cols,backtest,start_date,end_date,best_params,forecast_json,error,MAE,MAPE,RMSE,R2,Bias
0,prophet_Sales_2_20250708124134,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",2,True,['Oil Price Lag3'],True,1/1/2022 0:00,1/1/2025 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 3338975.1991892466, 'Sales': 4162649.0}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 1338981.8918711192, 'Sales': 1584992.0}]",,534841.9545,17.7%,607848.4611,0.777566405,-534841.9545
1,prophet_Sales_2_20250708124242,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",2,False,,True,1/1/2022 0:00,1/1/2025 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 5.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 3483088.806043939, 'Sales': 4162649}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 1478859.0517800858, 'Sales': 1584992}]",,392846.5711,11.5%,486346.7178,0.857602713,-392846.5711
2,prophet_Sales_4_20250708124344,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",4,True,['Oil Price Lag3'],True,1/1/2022 0:00,1/1/2025 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 5.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 1774887.239349243, 'Sales': 2944637.0}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 2354006.9173893128, 'Sales': 2906970.0}, {'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 2952371.7531910017, 'Sales': 4162649.0}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 874455.4981315953, 'Sales': 1584992.0}]",,910881.648,33.2%,954425.9804,-0.095666735,-910881.648
3,prophet_Sales_4_20250708124433,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",4,False,,True,1/1/2022 0:00,1/1/2025 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 1601771.8073349847, 'Sales': 2944637}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 2159304.262759705, 'Sales': 2906970}, {'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 2777302.7043231023, 'Sales': 4162649}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 628381.2446386332, 'Sales': 1584992}]",,1108121.995,41.2%,1139800.364,-0.562613433,-1108121.995
4,prophet_Sales_6_20250708124528,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",6,True,['Oil Price Lag3'],True,1/1/2022 0:00,1/1/2025 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 20.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-08-01 00:00:00'), 'forecast': 4040639.849988493, 'Sales': 3129936.0}, {'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 5484091.688276527, 'Sales': 4548466.0}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 2295322.0950221946, 'Sales': 2944637.0}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 2965092.6417892487, 'Sales': 2906970.0}, {'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 3617887.9721464654, 'Sales': 4162649.0}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 1583146.1550563264, 'Sales': 1584992.0}]",,516728.993,14.5%,635941.9527,0.559475801,118088.4004
5,prophet_Sales_6_20250708124732,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",6,False,,True,1/1/2022 0:00,1/1/2025 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 20.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-08-01 00:00:00'), 'forecast': 4114893.9670958105, 'Sales': 3129936}, {'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 5579990.393919359, 'Sales': 4548466}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 2355052.548574332, 'Sales': 2944637}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 3053680.946783239, 'Sales': 2906970}, {'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 3754754.2373312213, 'Sales': 4162649}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 1723577.2398993417, 'Sales': 1584992}]",,549876.2936,16.3%,656874.253,0.529998443,217383.2223
6,prophet_Sales_2_20250708124936,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",2,True,['Oil Price Lag3'],True,1/1/2022 0:00,11/1/2024 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 5.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 1774887.239349243, 'Sales': 2944637.0}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 2354006.9173893128, 'Sales': 2906970.0}]",,861356.4216,29.4%,914899.632,-2358.85236,-861356.4216
7,prophet_Sales_2_20250708125026,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",2,False,,True,1/1/2022 0:00,11/1/2024 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 10.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 1601771.807334985, 'Sales': 2944637}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 2159304.262759705, 'Sales': 2906970}]",,1045265.465,35.7%,1086805.176,-3328.977686,-1045265.465
8,prophet_Sales_4_20250708125122,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",4,True,['Oil Price Lag3'],True,1/1/2022 0:00,11/1/2024 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 20.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-08-01 00:00:00'), 'forecast': 4040639.849988493, 'Sales': 3129936.0}, {'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 5484091.688276527, 'Sales': 4548466.0}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 2295322.0950221946, 'Sales': 2944637.0}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 2965092.6417892487, 'Sales': 2906970.0}]",,638441.7713,18.4%,729685.7231,-0.156778073,313784.3188
9,prophet_Sales_4_20250708125422,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",4,False,,True,1/1/2022 0:00,11/1/2024 0:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 20.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-08-01 00:00:00'), 'forecast': 4114893.9670958105, 'Sales': 3129936}, {'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 5579990.393919359, 'Sales': 4548466}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 2355052.548574332, 'Sales': 2944637}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 3053680.946783239, 'Sales': 2906970}]",,688194.4398,19.8%,775132.0371,-0.305358267,393402.2141
