,run_id,model,target_col,window,param_grid,period,training_range,horizon,use_regressors,regressor_cols,backtest,start_date,end_date,best_params,forecast_json,error,MAE,MAPE,RMSE,R2,Bias
0,prophet_Sales_6_20250710222850,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,33.0,6,True,['Oil_Price_Lag3'],True,2022-02-01 00:00:00,2025-05-01 00:00:00,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 5.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 3865065.540862523, 'Sales': 4162649.379999999}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 2065021.6019330695, 'Sales': 1584992.3099999998}, {'Month': Timestamp('2025-02-01 00:00:00'), 'forecast': 2693781.3494862425, 'Sales': 3191815.009999999}, {'Month': Timestamp('2025-03-01 00:00:00'), 'forecast': 3031691.088308967, 'Sales': 3982548.789999999}, {'Month': Timestamp('2025-04-01 00:00:00'), 'forecast': 2470071.661607602, 'Sales': 3142322.3999999985}, {'Month': Timestamp('2025-05-01 00:00:00'), 'forecast': 3398022.5031877533, 'Sales': 4441144.319999999}]",,656979.5080799961,0.20299166410175432,708422.700826544,0.44310863706301984,-496969.7441023062
1,prophet_Sales_6_20250710222957,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,33.0,6,False,,True,2022-02-01 00:00:00,2025-05-01 00:00:00,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 5.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 3865065.454131016, 'Sales': 4162649.379999999}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 2065021.5105496428, 'Sales': 1584992.3099999998}, {'Month': Timestamp('2025-02-01 00:00:00'), 'forecast': 2693781.253445336, 'Sales': 3191815.009999999}, {'Month': Timestamp('2025-03-01 00:00:00'), 'forecast': 3031690.98757738, 'Sales': 3982548.789999999}, {'Month': Timestamp('2025-04-01 00:00:00'), 'forecast': 2470071.555138435, 'Sales': 3142322.3999999985}, {'Month': Timestamp('2025-05-01 00:00:00'), 'forecast': 3398022.3911365857, 'Sales': 4441144.319999999}]",,656979.5765201474,0.202991677047716,708422.7747026796,0.4431085209148953,-496969.84300359973
2,prophet_Sales_6_20250710223100,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,31.0,6,True,['Oil_Price_Lag3'],True,2022-02-01 00:00:00,2025-03-01 00:00:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 5.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 1745600.184494441, 'Sales': 2944637.78}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 2292968.561652627, 'Sales': 2906970.83}, {'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 2987219.030389322, 'Sales': 4162649.379999999}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 1022502.2680510597, 'Sales': 1584992.3099999998}, {'Month': Timestamp('2025-02-01 00:00:00'), 'forecast': 1719891.6424986743, 'Sales': 3191815.009999999}, {'Month': Timestamp('2025-03-01 00:00:00'), 'forecast': 1938143.1030698924, 'Sales': 3982548.789999999}]",,1177881.5516406635,0.37169466356268277,1281852.468604043,-1.309860710888763,-1177881.5516406635
3,prophet_Sales_6_20250710223253,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,31.0,6,False,,True,2022-02-01 00:00:00,2025-03-01 00:00:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 5.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 1745600.63683241, 'Sales': 2944637.78}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 2292969.0441697473, 'Sales': 2906970.83}, {'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 2987219.542112073, 'Sales': 4162649.379999999}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 1022502.809952962, 'Sales': 1584992.3099999998}, {'Month': Timestamp('2025-02-01 00:00:00'), 'forecast': 1719892.214579727, 'Sales': 3191815.009999999}, {'Month': Timestamp('2025-03-01 00:00:00'), 'forecast': 1938143.702409533, 'Sales': 3982548.789999999}]",,1177881.0249905908,0.37169447787048365,1281851.9729283776,-1.3098589245029642,-1177881.0249905908
4,prophet_Sales_6_20250710223440,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,29.0,6,True,['Oil_Price_Lag3'],True,2022-02-01 00:00:00,2025-01-01 00:00:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 20.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-08-01 00:00:00'), 'forecast': 4176287.3230971326, 'Sales': 3129936.57}, {'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 5604042.957533516, 'Sales': 4548466.009999999}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 2452185.0092398566, 'Sales': 2944637.78}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 3111263.5440536123, 'Sales': 2906970.83}, {'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 3866526.7823080467, 'Sales': 4162649.379999999}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 2010991.8715434256, 'Sales': 1584992.3099999998}]",,586799.2241132972,0.19063333929336493,678540.3518355741,0.49848228470903966,323940.76796259877
5,prophet_Sales_6_20250710223638,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,29.0,6,False,,True,2022-02-01 00:00:00,2025-01-01 00:00:00,"{'changepoint_prior_scale': 1.0, 'seasonality_prior_scale': 20.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-08-01 00:00:00'), 'forecast': 4176286.0528982505, 'Sales': 3129936.57}, {'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 5604041.766030567, 'Sales': 4548466.009999999}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 2452185.1142661283, 'Sales': 2944637.78}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 3111264.197665573, 'Sales': 2906970.83}, {'Month': Timestamp('2024-12-01 00:00:00'), 'forecast': 3866525.8152234163, 'Sales': 4162649.379999999}, {'Month': Timestamp('2025-01-01 00:00:00'), 'forecast': 2010990.9703491183, 'Sales': 1584992.3099999998}]",,586798.9162423274,0.19063320348354026,678539.7125907853,0.4984832296563345,323940.17273884267
6,prophet_Sales_6_20250710223832,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,27.0,6,True,['Oil_Price_Lag3'],True,2022-02-01 00:00:00,2024-11-01 00:00:00,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 5.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-06-01 00:00:00'), 'forecast': 5496509.6039643735, 'Sales': 3595323.22}, {'Month': Timestamp('2024-07-01 00:00:00'), 'forecast': 3437236.1979801995, 'Sales': 2950430.7299999995}, {'Month': Timestamp('2024-08-01 00:00:00'), 'forecast': 4948219.37640141, 'Sales': 3129936.57}, {'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 6537209.936546182, 'Sales': 4548466.009999999}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 3322659.4775826707, 'Sales': 2944637.78}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 4146105.482249406, 'Sales': 2906970.83}]",,1302029.1557873741,0.37776587829230396,1460085.5619851423,-5.19398710540392,1302029.1557873741
7,prophet_Sales_6_20250710224035,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,27.0,6,False,,True,2022-02-01 00:00:00,2024-11-01 00:00:00,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 5.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2024-06-01 00:00:00'), 'forecast': 5496509.603964832, 'Sales': 3595323.22}, {'Month': Timestamp('2024-07-01 00:00:00'), 'forecast': 3437236.1979807136, 'Sales': 2950430.7299999995}, {'Month': Timestamp('2024-08-01 00:00:00'), 'forecast': 4948219.376401983, 'Sales': 3129936.57}, {'Month': Timestamp('2024-09-01 00:00:00'), 'forecast': 6537209.936546813, 'Sales': 4548466.009999999}, {'Month': Timestamp('2024-10-01 00:00:00'), 'forecast': 3322659.477583358, 'Sales': 2944637.78}, {'Month': Timestamp('2024-11-01 00:00:00'), 'forecast': 4146105.4822501503, 'Sales': 2906970.83}]",,1302029.1557879753,0.37776587829248937,1460085.5619856673,-5.193987105408374,1302029.1557879753
8,prophet_Sales_6_20250710224244,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,21.0,6,True,['Oil_Price_Lag3'],True,2022-02-01 00:00:00,2024-05-01 00:00:00,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 15.0, 'fourier_order': 10.0}","[{'Month': Timestamp('2023-12-01 00:00:00'), 'forecast': 6463065.68394798, 'Sales': 4233031.039999999}, {'Month': Timestamp('2024-01-01 00:00:00'), 'forecast': 3307987.920724149, 'Sales': 2802873.389999999}, {'Month': Timestamp('2024-02-01 00:00:00'), 'forecast': 3164362.2890748912, 'Sales': 3269342.57}, {'Month': Timestamp('2024-03-01 00:00:00'), 'forecast': 5294044.058394049, 'Sales': 3240903.859999999}, {'Month': Timestamp('2024-04-01 00:00:00'), 'forecast': 2622113.788462786, 'Sales': 3449214.33}, {'Month': Timestamp('2024-05-01 00:00:00'), 'forecast': 4294433.451175202, 'Sales': 4676295.619999999}]",,1017038.7273922168,0.2823504354542847,1309230.992974647,-3.189696037635012,579057.7302965103
9,prophet_Sales_6_20250710224436,prophet,Sales,,"{'changepoint_prior_scale': [0.01, 0.1, 1], 'seasonality_prior_scale': [5, 10, 15, 20], 'fourier_order': [5, 10]}",365.25,21.0,6,False,,True,2022-02-01 00:00:00,2024-05-01 00:00:00,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 20.0, 'fourier_order': 5.0}","[{'Month': Timestamp('2023-12-01 00:00:00'), 'forecast': 4959295.482153766, 'Sales': 4233031.039999999}, {'Month': Timestamp('2024-01-01 00:00:00'), 'forecast': 3032137.3525340455, 'Sales': 2802873.389999999}, {'Month': Timestamp('2024-02-01 00:00:00'), 'forecast': 3772141.878702769, 'Sales': 3269342.57}, {'Month': Timestamp('2024-03-01 00:00:00'), 'forecast': 4514408.348229784, 'Sales': 3240903.859999999}, {'Month': Timestamp('2024-04-01 00:00:00'), 'forecast': 3543593.3711452796, 'Sales': 3449214.33}, {'Month': Timestamp('2024-05-01 00:00:00'), 'forecast': 4511978.730160568, 'Sales': 4676295.619999999}]",,498421.3554341796,0.14376784323669403,644276.1150471033,-0.014598049828839388,443649.05882103584
