YearMonth,Consumption,Purchases,Sales
2019-01,5757245,,
2019-02,6340976,,
2019-03,5866848,,
2019-04,5301847,,
2019-05,5191991,,
2019-06,5961235,,
2019-07,5665476,,
2019-08,4804948,,
2019-09,3248440,,
2019-10,3861569,,
2019-11,4861531,,
2019-12,2868746,,
2020-01,5369506,,
2020-02,3828279,,
2020-03,3167432,,
2020-04,1466015,,
2020-05,715070,,
2020-06,889580,,
2020-07,1757578,,
2020-08,2192825,,
2020-09,1796533,,
2020-10,3302977,,
2020-11,1603189,,
2020-12,3596851,,
2021-01,3877727,,
2021-02,2316286,,
2021-03,4104599,,
2021-04,2746293,,
2021-05,3079723,,
2021-06,3615651,,
2021-07,941703,135807.58441558442,
2021-08,3085628,4112269.132833833,
2021-09,2347623,1513575.2121212122,
2021-10,3632905,4283987.227272728,
2021-11,2792202,6430899.747868798,
2021-12,4594626,4898648.282867133,
2022-01,6588385,,886372.3799999995
2022-02,3892499,2673230.278846154,2753037.8099999987
2022-03,4659055,3271630.8401892227,3590682.719999999
2022-04,4794100,5134727.545454546,2108007.2
2022-05,5542172,4380093.202020202,3374924.4099999988
2022-06,3896964,2862537.163865546,5171797.209999998
2022-07,4948434,1837487,2384775.349999999
2022-08,4909643,1771326,3260864.8
2022-09,4197127,1463692,6087942.159999999
2022-10,3880372,2462520.6333333333,2925056.82
2022-11,4192037,4888047.003846154,3673880.159999999
2022-12,2462439,2605335.153846154,4198354.069999999
2023-01,2869138,5483816.821428572,2709728.4199999995
2023-02,2629266,8274226.2696575485,2994204.039999999
2023-03,3110996,2526997.668864469,4094238.389999999
2023-04,3164631,4513668.486402486,3174222.4299999992
2023-05,2988122,5796027.337386878,4184949.539999999
2023-06,4947389,5600667.989577089,4558594.029999999
2023-07,6923841,2343045.958,3727612.5099999993
2023-08,3992381,5884507.685148185,5203498.609999999
2023-09,3765553,7841345.1,6253743.649999999
2023-10,4507313,6048544.911625874,2516436.1
2023-11,5289268,1895984.9444444445,3704247.77
2023-12,3767189,10162024.429370629,4233031.039999999
2024-01,4904444,3104438.2333333334,2802873.389999999
2024-02,3156179,1444408.8590909091,3269342.57
2024-03,4484904,1292816.9848484849,3240903.859999999
2024-04,3910669,4745560.375380175,3449214.33
2024-05,5536059,3733374.5,4676295.619999999
2024-06,3396758,1121559,3595323.2199999997
2024-07,5160029,3534705.833333333,2950430.7299999995
2024-08,3688159,2786717.928282828,3129936.57
2024-09,4137259,2717965.457575757,4548466.009999999
2024-10,3888397,3233874.353768454,2944637.78
2024-11,3635857,3157782.067099567,2906970.83
2024-12,3500839,1922553.8888888888,4162649.379999999
2025-01,4815265,1427162.6666666667,1584992.3099999998
2025-02,4769272,837487.2,3191815.009999999
2025-03,431323,,3982548.789999999
2025-04,,,3142322.3999999985
2025-05,,,4441144.319999999
2025-06,,,2246278.899999999
2025-07,,,1634890.5799999996
2025-08,,,776119.4999999999
2025-09,,,380928
2025-10,,,416591.74999999977
2025-12,,,681860.6199999998
2026-02,,,74311.6
2026-05,,,115511.8
